[2021-06-30 09:56:32,954] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:56:32,956] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:57:04,312] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:57:04,351] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:57:04,547] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 320
[2021-06-30 09:57:04,668] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:57:04,739] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:57:04,740] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:57:22,828] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:57:22,856] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:57:23,057] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 320
[2021-06-30 09:57:23,167] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:57:23,379] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:57:23,380] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:57:33,850] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:57:33,891] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:57:34,076] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 320
[2021-06-30 09:57:34,199] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:57:34,594] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
